Date;DishargeRateBat0;RemainingCapacityBat0;DishargeRateBat1;RemainingCapacityBat1;
05/29/2024 03:07:33;8;35256;6202;14600;
05/29/2024 03:07:34;8;35256;6202;14600;
05/29/2024 03:07:35;8;35256;6202;14600;
05/29/2024 03:07:36;8;35256;6202;14600;
05/29/2024 03:07:37;8;35256;6202;14600;
05/29/2024 03:07:38;8;35256;6202;14600;
05/29/2024 03:07:39;8;35256;6202;14600;
05/29/2024 03:07:40;8;35256;6202;14600;
05/29/2024 03:07:41;8;35256;6202;14600;
05/29/2024 03:07:42;8;35256;6202;14600;
05/29/2024 03:07:43;8;35256;6202;14600;
05/29/2024 03:07:44;8;35256;6202;14600;
05/29/2024 03:07:45;8;35256;6202;14600;
05/29/2024 03:07:46;8;35256;6202;14600;
05/29/2024 03:07:47;8;35256;6202;14600;
05/29/2024 03:07:48;8;35256;6202;14600;
05/29/2024 03:07:49;8;35256;6202;14600;
05/29/2024 03:07:50;8;35256;6202;14600;
05/29/2024 03:07:51;8;35256;6202;14600;
05/29/2024 03:07:52;8;35256;6202;14600;
05/29/2024 03:07:53;8;35256;6202;14600;
05/29/2024 03:07:54;8;35256;6202;14600;
05/29/2024 03:07:55;8;35256;6202;14600;
05/29/2024 03:07:56;8;35256;6202;14600;
05/29/2024 03:07:57;8;35256;6202;14600;
05/29/2024 03:07:58;8;35256;6202;14600;
05/29/2024 03:07:59;8;35256;6202;14600;
05/29/2024 03:08:00;8;35256;6202;14600;
05/29/2024 03:08:02;8;35256;6202;14600;
05/29/2024 03:08:03;8;35256;6202;14600;
05/29/2024 03:08:04;8;35256;6202;14600;
05/29/2024 03:08:05;8;35256;6202;14600;
05/29/2024 03:08:06;8;35256;6202;14600;
05/29/2024 03:08:07;8;35256;6202;14600;
05/29/2024 03:08:08;8;35256;6202;14600;
05/29/2024 03:08:09;8;35256;6202;14600;
05/29/2024 03:08:10;8;35256;6202;14600;
05/29/2024 03:08:11;8;35256;6202;14600;
